t=2026-03-04T07:35:06+0100 lvl=info msg="no configuration paths supplied"
t=2026-03-04T07:35:06+0100 lvl=info msg="using configuration at default config path" path=C:\\Users\\Imam\\AppData\\Local/ngrok/ngrok.yml
t=2026-03-04T07:35:06+0100 lvl=info msg="open config file" path=C:\\Users\\Imam\\AppData\\Local\\ngrok\\ngrok.yml err=nil
t=2026-03-04T07:35:06+0100 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-03-04T07:35:06+0100 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-03-04T07:35:06+0100 lvl=info msg="client session established" obj=tunnels.session
t=2026-03-04T07:35:06+0100 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-03-04T07:35:06+0100 lvl=info msg="update available" obj=updater
t=2026-03-04T07:35:06+0100 lvl=info msg="started tunnel" obj=tunnels name=command_line addr=http://localhost:3000 url=https://lossy-transitively-deirdre.ngrok-free.dev
t=2026-03-04T07:39:06+0100 lvl=info msg="join connections" obj=join id=2059d025cebf l=[::1]:3000 r=213.49.172.115:58821
t=2026-03-04T07:39:07+0100 lvl=info msg="join connections" obj=join id=0884c29108a4 l=[::1]:3000 r=213.49.172.115:58821
t=2026-03-04T07:39:07+0100 lvl=info msg="join connections" obj=join id=5668718f48ab l=[::1]:3000 r=213.49.172.115:58821
t=2026-03-04T07:39:07+0100 lvl=info msg="join connections" obj=join id=52352f862ec7 l=[::1]:3000 r=213.49.172.115:58821
t=2026-03-04T07:39:07+0100 lvl=info msg="join connections" obj=join id=a65533df61fa l=[::1]:3000 r=213.49.172.115:58821
t=2026-03-04T07:39:07+0100 lvl=info msg="join connections" obj=join id=087a4601b47a l=[::1]:3000 r=213.49.172.115:58821
t=2026-03-04T07:39:07+0100 lvl=info msg="join connections" obj=join id=188b007cc8ab l=[::1]:3000 r=213.49.172.115:58821
t=2026-03-04T07:39:07+0100 lvl=info msg="join connections" obj=join id=757b51640f78 l=[::1]:3000 r=213.49.172.115:58821
t=2026-03-04T07:39:07+0100 lvl=info msg="join connections" obj=join id=97354b82f10a l=[::1]:3000 r=213.49.172.115:58821
t=2026-03-04T07:39:07+0100 lvl=info msg="join connections" obj=join id=763b7e63969f l=[::1]:3000 r=213.49.172.115:58821
t=2026-03-04T07:39:07+0100 lvl=info msg="join connections" obj=join id=49289e8499ba l=[::1]:3000 r=213.49.172.115:58821
t=2026-03-04T07:39:07+0100 lvl=info msg="join connections" obj=join id=d9bf271405bf l=[::1]:3000 r=213.49.172.115:58821
t=2026-03-04T07:39:07+0100 lvl=info msg="join connections" obj=join id=520786233097 l=[::1]:3000 r=213.49.172.115:58821
t=2026-03-04T07:39:07+0100 lvl=info msg="join connections" obj=join id=1fff87d0cf62 l=[::1]:3000 r=213.49.172.115:58821
t=2026-03-04T07:39:07+0100 lvl=info msg="join connections" obj=join id=fa453640f9fd l=[::1]:3000 r=213.49.172.115:58821
